,mapper1,mapper2,datemapped,weight,avgDistance
0,abdul osm,aneth nemes,2017-10-08,3,0.00192751775094908
1,abdul osm,aneth nemes,2017-10-16,4,0.00122641881485826
2,abdul osm,aneth nemes,2017-10-18,3,0.00204628256056978
3,abdul osm,aneth nemes,2017-10-21,32,0.00748340647083477
4,abdul osm,aneth nemes,2017-10-22,39,0.001369616969265
5,abdul osm,aneth nemes,2017-10-23,5,0.00117430639498181
6,abdul osm,aneth nemes,2017-11-01,11,0.0037045714984998
7,abdul osm,bigalxyz123,2017-10-08,124,0.00169018696777926
8,abdul osm,bigalxyz123,2017-10-16,489,0.00208887744040913
9,abdul osm,bigalxyz123,2017-10-18,143,0.00203619750900226
10,abdul osm,bigalxyz123,2017-10-21,1211,0.00294674446202357
11,abdul osm,bigalxyz123,2017-10-22,1709,0.00237194346403752
12,abdul osm,bigalxyz123,2017-10-23,220,0.00259450384861052
13,abdul osm,bigalxyz123,2017-10-25,582,0.00305676534778594
14,aboges26,abr2296,2016-10-20,12,0.0011941531875057
15,aboges26,abr2296,2016-10-21,296,0.00177703042648291
16,aboges26,abr2296,2016-10-22,2903,0.00657572123041394
17,aboges26,abr2296,2016-11-11,6093,0.00121381395474723
18,aboges26,amarrington,2016-10-21,1,0.00136552693689706
19,aboges26,andrelly,2016-11-08,12,0.00111849884313465
20,aboges26,andrelly,2016-11-09,1866,0.00269774392049461
21,aboges26,asfrod,2016-11-09,1549,0.00385193805596316
22,aboges26,brb1693,2016-11-09,693,0.00185401937036104
23,aboges26,danielzyt,2016-11-07,404,0.00129020807064703
24,aboges26,danielzyt,2016-11-08,7957,0.00120453933633324
25,aboges26,ealienhard,2016-10-16,3853,0.0015258788037736
26,aboges26,ealienhard,2016-11-09,4,0.003256530189845
27,aboges26,ehruhm,2016-11-09,33406,0.00209276259423614
28,aboges26,esmanov,2016-10-17,165,0.00181991526251842
29,aboges26,esmanov,2016-10-19,4,0.00102904498050917
30,aboges26,esmanov,2016-10-22,346,0.00128474394261618
31,aboges26,esmanov,2016-11-07,2376,0.0030327214002386
32,aboges26,esmanov,2016-11-08,289,0.0013414998678446
33,aboges26,esmanov,2016-11-09,7262,0.00226693527179151
34,aboges26,esmanov,2016-11-10,2597,0.00126202454278506
35,aboges26,esmanov,2016-11-11,11303,0.00178208798080218
36,aboges26,esteban suárez,2016-11-09,202,0.00310631816651289
37,aboges26,farydh,2016-10-16,9,0.00134456453910072
38,aboges26,farydh,2016-10-17,3,0.00111819582405129
