,name,institution,location
0,youthmapper - ameu,african methodist episcopal university,0101000020E610000078D2C265153E1940CA5A9E62309A25C0
1,abu geomappers,ahmadu bello university zaria,0101000020E61000004B0DC8B9A84D2640C318479B999F1E40
2,aru mapper,ardhi university,0101000020E6100000E1FA66518E101BC049CDC3AE929B4340
3,youthmappers at auw,asian university for women,0101000020E61000003B33C170AE5B3640BE1D9727460B5640
4,good mappers,busitema university,0101000020E6100000A1CC50267F81E13F146C127294024140
5,calu pa gis club,california university of pennsylvania,0101000020E61000001AEB2CC4340844401201E20998F853C0
6,geography club,central washington university,0101000020E61000003B4B3558DD804740387870C163BB4DC0
7,youthemappers curat,centre universitaire de recherche et d'application en télédétection(curat) de l'université felix houphouet boigny,0101000020E610000019CCBADAE55E1540AC8CEB843CE70FC0
8,chanco malawi youthmappers,chancellor college - university of malawi,0101000020E6100000544843D7CFC02EC0F9EB5FA3F6AA4140
9,clemson mappers,clemson university,0101000020E6100000F50137418A564140FBF8F0D187B554C0
10,all over the map! at william and mary,college of william and mary,0101000020E61000003596B036C6A24240E4EB32FCA72D53C0
11,mapping society at cornell university,cornell university,0101000020E6100000DD32969F0A3A454055C444DE4D1E53C0
12,youthmappers - cu,cuttington university,0101000020E610000070BAC0406B291C409E55551E931B23C0
13,gdev,dedan kimathi university of technology,0101000020E61000004AE8D3CF4051D9BF2D25CB49287B4240
14,youthmappers dhakacollege,dhaka college,0101000020E610000007D49B51F3B93740553C3FD61D665640
15,youthmappers at eastern university,eastern university,0101000020E6100000FFB4519D0EBE3740468DAE77A4675640
16,junior philippines computer society - far eastern university - institute of technology chapter,far eastern university - institute of technology,0101000020E61000003406E79D54352D40F631C45675814D40
17,oyomappersteam(omt)oyo,federal school of surveys,0101000020E6100000076B52C02C3F20404B929D6D24E71040
18,youthmappers at futa,federal university of technology - akure,0101000020E61000005DAE7E6C92371D40488FF0074D8C1440
19,student's geographical association - youth mappers,fourah bay college - university of sierra leon,0101000020E61000005E51007B3BF42040785215095C712AC0
20,youth mappers general lansana conte university,general lansana conte university,0101000020E6100000E412471E885C23404B40A77BF8292BC0
21,mason mappers,george mason university,0101000020E6100000682D605D706A43404B3D0B42F95353C0
22,youthmappers at grand gedeh county community college,grand gedeh county community college,0101000020E6100000631D7D827A411840588AE42B813C20C0
