,auth_a,name,cnt,YouthMapper1,institution1,YouthMapper,institution
0,--t7tr--,danielzyt,4962,False,unknown,True,busitema university
1,acn dan giles,danielzyt,10523,False,unknown,True,busitema university
2,adrien38,danielzyt,12,False,unknown,True,busitema university
3,adriko justice,danielzyt,1821,False,unknown,True,busitema university
4,alain droux,danielzyt,8189,False,unknown,True,busitema university
5,allan daniel,danielzyt,16572,True,uganda christian university - mbale university college,True,busitema university
6,allan mkandawire,danielzyt,3369,False,unknown,True,busitema university
7,amour_nyl,danielzyt,38,False,unknown,True,busitema university
8,amule,danielzyt,2186,False,unknown,True,busitema university
9,andreas cierpka,danielzyt,20,False,unknown,True,busitema university
10,andrew gerrard,danielzyt,9140,False,unknown,True,busitema university
11,andrewbuck,danielzyt,283,False,unknown,True,busitema university
12,anisa berliana,danielzyt,80,False,unknown,True,busitema university
13,armasari,danielzyt,1409,False,unknown,True,busitema university
14,arnekimmig,danielzyt,86,False,unknown,True,busitema university
15,artamonovnik,danielzyt,834,False,unknown,True,busitema university
16,brublanc,danielzyt,100,True,texas tech university,True,busitema university
17,chaslil,danielzyt,64,False,unknown,True,busitema university
18,chiaraponti,danielzyt,22781,True,politecnico di milano,True,busitema university
19,chrilog,danielzyt,6520,False,unknown,True,busitema university
20,daantje16,danielzyt,8573,False,unknown,True,busitema university
21,dalik58,danielzyt,714,False,unknown,True,busitema university
22,--t7tr--,hills95,9744,False,unknown,True,uganda christian university - mbale university college
23,aclark1126,hills95,989,True,california university of pennsylvania,True,uganda christian university - mbale university college
24,acn dan giles,hills95,76886,False,unknown,True,uganda christian university - mbale university college
25,adriansyah,hills95,33,False,unknown,True,uganda christian university - mbale university college
26,adrien38,hills95,13,False,unknown,True,uganda christian university - mbale university college
27,adriko justice,hills95,925226,False,unknown,True,uganda christian university - mbale university college
28,afo-kangah,hills95,151,True,university of cape coast,True,uganda christian university - mbale university college
29,aiko harriet tubby,hills95,1085,True,uganda christian university - mbale university college,True,uganda christian university - mbale university college
30,alain droux,hills95,2680,False,unknown,True,uganda christian university - mbale university college
31,allan daniel,hills95,85154,True,uganda christian university - mbale university college,True,uganda christian university - mbale university college
32,allan mkandawire,hills95,20,False,unknown,True,uganda christian university - mbale university college
33,amour_nyl,hills95,3709,False,unknown,True,uganda christian university - mbale university college
34,amuhogwe,hills95,193,True,gulu university,True,uganda christian university - mbale university college
35,andrew gerrard,hills95,39267,False,unknown,True,uganda christian university - mbale university college
36,andrewbuck,hills95,738,False,unknown,True,uganda christian university - mbale university college
37,anisa berliana,hills95,580,False,unknown,True,uganda christian university - mbale university college
38,apburr,hills95,3,False,unknown,True,uganda christian university - mbale university college
39,armasari,hills95,205,False,unknown,True,uganda christian university - mbale university college
40,arnekimmig,hills95,24,False,unknown,True,uganda christian university - mbale university college
41,arthurian arthur,hills95,908,True,uganda christian university - mbale university college,True,uganda christian university - mbale university college
42,atamaadam,hills95,38024,False,unknown,True,uganda christian university - mbale university college
43,bashirmuguya,hills95,175,True,busitema university,True,uganda christian university - mbale university college
44,bjohas,hills95,231,False,unknown,True,uganda christian university - mbale university college
45,bvivi,hills95,89,False,unknown,True,uganda christian university - mbale university college
46,cahjo,hills95,2312,False,unknown,True,uganda christian university - mbale university college
47,cartoglee,hills95,2091,False,unknown,True,uganda christian university - mbale university college
48,chiaraponti,hills95,3172,True,politecnico di milano,True,uganda christian university - mbale university college
49,chrislaf,hills95,605,False,unknown,True,uganda christian university - mbale university college
50,ctransebastian,hills95,545,False,unknown,True,uganda christian university - mbale university college
