,mapper1,mapper2,Unnamed: 0,weight,avgDistance
0,abdul osm,aneth nemes,21,7,0.018932120459958502
1,abdul osm,bigalxyz123,70,7,0.0167852190396482
2,aboges26,abr2296,62,4,0.01076071879914978
3,aboges26,amarrington,18,1,0.0013655269368970599
4,aboges26,andrelly,39,2,0.00381624276362926
5,aboges26,asfrod,21,1,0.00385193805596316
6,aboges26,brb1693,22,1,0.00185401937036104
7,aboges26,danielzyt,47,2,0.00249474740698027
8,aboges26,ealienhard,51,2,0.0047824089936186
9,aboges26,ehruhm,27,1,0.0020927625942361396
10,aboges26,esmanov,252,8,0.01381897324910572
11,aboges26,esteban suárez,36,1,0.0031063181665128897
12,aboges26,farydh,114,3,0.00380165712129338
13,aboges26,har9075,81,2,0.00304343827505791
14,aboges26,hills95,267,6,0.00730541869258954
15,aboges26,itsukishindo,48,1,0.00128665348593548
16,aboges26,jabahum,49,1,0.00106636719207958
17,aboges26,jpierel14,101,2,0.00392031139713489
18,aboges26,jtodd38000,105,2,0.00288801488456903
19,aboges26,judithkamugisha,109,2,0.00478625304109078
20,aboges26,juliana sepúlveda,56,1,0.00209542688587156
21,aboges26,kaitlynh,57,1,0.00222426564769206
22,aboges26,kiggudde,492,8,0.01320068418729639
23,aboges26,knnewman,66,1,0.00133202495186731
24,aboges26,kyasiikane jorun,67,1,0.00103115856734631
25,aboges26,legendary1,68,1,0.00135666907228228
26,aboges26,mandyw,69,1,0.00126755604682764
27,aboges26,nababi tracy,360,5,0.00694775346213444
28,aboges26,nabulo carol,465,6,0.01112853220614588
29,aboges26,nawinecoff,81,1,0.0019436490460784102
30,aboges26,osm ebenezer,249,3,0.00342017426285736
31,aboges26,patrick etomet,708,8,0.01108281178878362
32,aboges26,premson,93,1,0.00125978664805356
33,aboges26,prosper1994,189,2,0.00239244773491177
34,aboges26,sbhoskins,96,1,0.0022128840874890603
35,aboges26,sekcore,97,1,0.00156385674284685
36,aboges26,smart d,98,1,0.00170285223582487
37,aboges26,tomm4,505,5,0.0073982209113338
38,aboges26,yukiejiang,104,1,0.00188312664125795
39,aboges26,zoyakaufmann,211,2,0.0032035305917178705
40,abr2296,allan daniel,107,1,0.00126341958833494
41,abr2296,esmanov,108,1,0.00103901728578044
42,abr2296,hills95,109,1,0.001169508097865
43,abr2296,juliakleine,221,2,0.00637073396627336
44,abr2296,kylerallen,112,1,0.00126139421505946
45,abr2296,nabulo carol,113,1,0.0027594308319416
46,abr2296,patrick etomet,114,1,0.00127750568276228
47,abr2296,wisniewskin,115,1,0.0057617864905939
48,aclark1126,hills95,116,1,0.007830086869788729
49,aclark1126,prosper1994,117,1,0.00187936875111177
50,afo-kangah,hills95,118,1,0.0171205695130951
51,afo-kangah,nababi tracy,119,1,0.00108566299379476
52,afo-kangah,siima,120,1,0.00173541172767826
53,aiko harriet tubby,danielzyt,121,1,0.00134821796668721
54,aiko harriet tubby,kaluba micheal,122,1,0.0135446753040757
55,aiko harriet tubby,mugabi henry,123,1,0.0011900167174364199
56,aiko harriet tubby,prosper1994,124,1,0.00255612863508915
57,alice bonfiglio,danolad,125,1,0.00133576544029626
58,alice bonfiglio,fliant,126,1,0.0012168423971176301
59,alice bonfiglio,mugabi henry,127,1,0.0929054094674647
60,allan daniel,danielzyt,917,7,0.01369826183289558
61,allan daniel,fliant,271,2,0.0026154690536757596
62,allan daniel,judithkamugisha,275,2,0.0073266207791802904
63,allan daniel,juweni,139,1,0.00154806097960345
64,allan daniel,kaluba micheal,281,2,0.00574295496702268
65,allan daniel,kombe1207,142,1,0.00563039689374011
66,allan daniel,michael montani,143,1,0.00133523312152717
67,allan daniel,mugabi henry,435,3,0.01070313062282605
