,name,ID,YouthMapper,institution
0,dollarmapper,-1,True,ahmadu bello university zaria
1,muhaammaadd,-1,True,ahmadu bello university zaria
2,hauwa_u,-1,True,ahmadu bello university zaria
3,kenbayona,-1,True,ardhi university
4,ayebare lucky,-1,True,busitema university
5,nasif nash,-1,True,busitema university
6,victoria vickie,-1,True,busitema university
7,tusubira paul,-1,True,busitema university
8,nimusiima,-1,True,busitema university
9,kennie2017,-1,True,busitema university
10,bosahamza,-1,True,busitema university
11,bob archist,-1,True,busitema university
12,peacep,-1,True,busitema university
13,kjoshua,-1,True,busitema university
14,obonge jimmy,-1,True,busitema university
15,raymondk03,-1,True,busitema university
16,beatrice anyango,-1,True,busitema university
17,sadiki3,-1,True,busitema university
18,ayebare rebecca,-1,True,busitema university
19,bush herbert omeson,-1,True,busitema university
20,angella n,-1,True,busitema university
21,marcello seme,-1,True,busitema university
22,kessterry,-1,True,busitema university
23,lobi stanley,-1,True,busitema university
24,ssenkooto stephen,-1,True,busitema university
25,bwesigye edward,-1,True,busitema university
26,ayiko,-1,True,busitema university
27,kimdave,-1,True,busitema university
28,ek blessing,-1,True,busitema university
29,raymondk,-1,True,busitema university
30,katanga joel,-1,True,busitema university
31,yusufu hamba,-1,True,busitema university
32,brian alinda,-1,True,busitema university
33,nakumat,-1,True,busitema university
34,nimusiima pelth,-1,True,busitema university
35,angellah n,-1,True,busitema university
36,owens,-1,True,busitema university
37,bazira daniel,-1,True,busitema university
38,prosper1995,-1,True,busitema university
39,kiwanuka elijah,-1,True,busitema university
40,ocaya brian,-1,True,busitema university
41,jakborsondox,-1,True,busitema university
42,omirambe,-1,True,busitema university
43,ryansmith,-1,True,california university of pennsylvania
44,bur3274,-1,True,california university of pennsylvania
45,cvalko1229,-1,True,central washington university
46,guy pacome,-1,True,centre universitaire de recherche et d'application en télédétection(curat) de l'université felix houphouet boigny
47,gnelfang,-1,True,centre universitaire de recherche et d'application en télédétection(curat) de l'université felix houphouet boigny
48,cherif1er,-1,True,centre universitaire de recherche et d'application en télédétection(curat) de l'université felix houphouet boigny
49,lau_23,-1,True,chancellor college - university of malawi
50,rjpayne,-1,True,clemson university
51,emasoom,-1,True,clemson university
52,zdhanan,-1,True,clemson university
53,willyli,-1,True,clemson university
54,skdesai,-1,True,clemson university
55,ckinzie,-1,True,clemson university
56,pat,-1,True,clemson university
57,mikdale,-1,True,clemson university
58,pcarbaj,-1,True,clemson university
59,bburk,-1,True,clemson university
60,theprovy,-1,True,clemson university
61,samuelz,-1,True,clemson university
62,kgjenkins,-1,True,cornell university
63,1cornell,-1,True,cornell university
64,amineta,-1,True,cornell university
65,michalleahl,-1,True,cornell university
66,kenneth_mureithi,-1,True,dedan kimathi university of technology
67,ashrafulislamsium,-1,True,dhaka college
68,mehedi hasaan emon,-1,True,dhaka college
69,mohsin islam,-1,True,dhaka college
70,syfulislam4004,-1,True,dhaka college
71,kawsar333,-1,True,dhaka college
72,jahid ahmad,-1,True,dhaka college
73,md. taohedul islam,-1,True,dhaka college
74,zubair ahmad,-1,True,dhaka college
75,md. atik shahariar,-1,True,dhaka college
76,sheikh ashem ahmed,-1,True,dhaka college
77,md. kowshar alam,-1,True,dhaka college
78,md. shamsul haque,-1,True,dhaka college
79,md. neyamot ullah,-1,True,dhaka college
80,md. sazib hassan,-1,True,dhaka college
81,arif hossain,-1,True,dhaka college
82,sakibul hassan,-1,True,dhaka college
83,sagir ahammed,-1,True,dhaka college
84,md. easin,-1,True,dhaka college
85,md. yasin rahaman,-1,True,dhaka college
86,azharul islam fuad,-1,True,dhaka college
87,md. tushar ahmed,-1,True,dhaka college
88,md. abu zafor sourov,-1,True,dhaka college
89,saiful islam,-1,True,dhaka college
90,md. zifran islam,-1,True,dhaka college
91,chandan kumar paul,-1,True,dhaka college
92,md. abdul momin,-1,True,dhaka college
93,md. atikul islam,-1,True,dhaka college
94,elias sani,-1,True,dhaka college
95,md. shamim hossain,-1,True,dhaka college
96,mir arafeen ahmmed,-1,True,dhaka college
97,md. salauddin,-1,True,dhaka college
98,abdullah,-1,True,dhaka college
99,md. arif chowdhury,-1,True,dhaka college
100,maksudur rahman,-1,True,dhaka college
101,s m mahmudur rahman,-1,True,dhaka college
102,md. nayeem hossain,-1,True,dhaka college
